"NAME","LATITUDE","LONGITUDE","CityName"
"Kilometro 8 El Tigre - Bocas Del Pauto",5.20473,-71.33977,"San Luis De Palenque"
"Kilometro 13 El Tigre - Bocas Del Pauto",5.24537,-71.32264,"San Luis De Palenque"
"Kilometro 5 Matapalama - Via El Mediano",5.059881,-71.243243,"San Luis De Palenque"
"Pozo Morichal 6",5.265116,-72.270037,"Yopal"
"Pozo Morichal 1",5.265664,-72.273583,"Yopal"
"Pozo Estacion Caño Gandul",5.175589,-71.140793,"San Luis De Palenque"
"Estacion Sirenas",5.2911,-71.26692,"Trinidad"
"San Luis",5.301416,-71.272572,"Trinidad"
"Via San Luis",5.298455,-71.274209,"Trinidad"
"Entrada Pozos Gloria Norte 3, 4 y6",5.160575,-72.265228,"Yopal"
"Via Estacion Gloria Norte",5.157035,-72.272085,"Yopal"
"Estacion Gloria Norte",5.154675,-72.278494,"Yopal"
"Kilometro 1 Yopal - Pozos Morichal",5.322865,-72.376782,"Yopal"
"Kilometro 2 Yopal - Pozos Morichal",5.317062,-72.370148,"Yopal"
"Kilometro 3 Yopal - Pozos Morichal",5.314361,-72.361607,"Yopal"
"Kilometro 4 Yopal - Pozos Morichal",5.31027,-72.358572,"Yopal"
"Kilometro 5 Yopal - Pozos Morichal",5.304066,-72.352154,"Yopal"
"Kilometro 6 Yopal - Pozos Morichal",5.297895,-72.344113,"Yopal"
"Kilometro 7 Yopal - Pozos Morichal",5.289732,-72.333622,"Yopal"
"Kilometro 8 Yopal - Pozos Morichal",5.28663,-72.32997,"Yopal"
"Kilometro 8 Pozos Morichal - Yopal",5.281496,-72.32245,"Yopal"
"Kilometro 7 Pozos Morichal - Yopal",5.279784,-72.314607,"Yopal"
"Kilometro 6 Pozos Morichal - Yopal",5.27465,-72.308215,"Yopal"
"Kilometro 5 Pozos Morichal - Yopal",5.274115,-72.298708,"Yopal"
"Kilometro 4 Pozos Morichal - Yopal",5.26898,-72.290382,"Yopal"
"Kilometro 3 Pozos Morichal - Yopal",5.264595,-72.283238,"Yopal"
"Kilometro 2 Pozos Morichal - Yopal",5.259995,-72.279478,"Yopal"
"Kilometro 1 Pozos Morichal - Yopal",5.259192,-72.271998,"Yopal"
"Kilometro 1 Via Yopal - Estacion Tocaira",5.492899,-72.224379,"Yopal"
"Kilometro 2 Via Yopal - Estacion Tocaira",5.484893,-72.222334,"Yopal"
"Kilometro 3 Via Yopal - Estacion Tocaira",5.476749,-72.218799,"Yopal"
"Kilometro 4 Via Yopal - Estacion Tocaira",5.46813,-72.216456,"Yopal"
"Kilometro 5 Via Yopal - Estacion Tocaira",5.459312,-72.213497,"Yopal"
"Kilometro 6 Via Yopal - Estacion Tocaira",5.451247,-72.214032,"Yopal"
"Kilometro 7 Via Yopal - Estacion Tocaira",5.443063,-72.214072,"Yopal"
"Kilometro 8 Via Yopal - Estacion Tocaira",5.435076,-72.210656,"Yopal"
"Kilometro 9 Via Yopal - Estacion Tocaira",5.427959,-72.203745,"Yopal"
"Kilometro 9 Estacion Tocaira - Via Yopal",5.421633,-72.201918,"Yopal"
"Kilometro 8 Estacion Tocaira - Via Yopal",5.411273,-72.198582,"Yopal"
"Kilometro 7 Estacion Tocaira - Via Yopal",5.404236,-72.194649,"Yopal"
"Kilometro 6 Estacion Tocaira - Via Yopal",5.397593,-72.190876,"Yopal"
"Kilometro 5 Estacion Tocaira - Via Yopal",5.393007,-72.182376,"Yopal"
"Kilometro 4 Estacion Tocaira - Via Yopal",5.386641,-72.173956,"Yopal"
"Kilometro 3 Estacion Tocaira - Via Yopal",5.382596,-72.167413,"Yopal"
"Kilometro 2 Estacion Tocaira - Via Yopal",5.379728,-72.160114,"Yopal"
"Kilometro 1 Estacion Tocaira - Via Yopal",5.369595,-72.159389,"Yopal"
"Entrada Pozo Guarilaque",4.894053,-71.580988,"Orocue"
"Pozo Estacion Guarilaque",4.88784,-71.586747,"Orocue"
"Pozo Guarilaque 9",4.881785,-71.597908,"Orocue"
"Pozo Guarilaque 6 y 7",4.880835,-71.60188,"Orocue"
"Pozo Guarilaque 3",4.875295,-71.605535,"Orocue"
